st_case,crashdate,state,statename,countyname,totalvehicles,fatals,persons,peds
10180,4/5/2014 11:10 AM,1,Alabama,LEE (81),1,1,1,0
10181,3/9/2014 2:42 PM,1,Alabama,COLBERT (33),1,1,1,0
10182,3/29/2014 10:05 PM,1,Alabama,BALDWIN (3),1,1,4,1
10183,4/4/2014 7:20 AM,1,Alabama,ELMORE (51),2,1,4,0
10184,4/12/2014 12:45 PM,1,Alabama,CHILTON (21),2,1,6,0
10185,4/15/2014 1:52 PM,1,Alabama,BUTLER (13),1,1,3,0
10186,4/17/2014 9:52 AM,1,Alabama,MARION (93),2,2,3,0
10187,4/18/2014 2:17 AM,1,Alabama,MOBILE (97),2,1,5,0
10188,4/13/2014 1:49 AM,1,Alabama,JEFFERSON (73),1,1,3,0
10189,4/4/2014 1:29 AM,1,Alabama,JEFFERSON (73),2,1,2,0
10190,4/4/2014 7:30 PM,1,Alabama,LIMESTONE (83),1,1,1,0
10191,4/4/2014 10:15 AM,1,Alabama,MONTGOMERY (101),1,1,1,0
10192,4/5/2014 2:34 AM,1,Alabama,ELMORE (51),1,1,1,0
10193,4/6/2014 6:32 PM,1,Alabama,LEE (81),1,1,2,0
10194,4/8/2014 4:30 AM,1,Alabama,WILCOX (131),1,2,2,0
10195,4/8/2014 1:22 AM,1,Alabama,MACON (87),1,1,1,0
10196,4/9/2014 8:05 PM,1,Alabama,MOBILE (97),3,1,3,1
10197,4/10/2014 5:30 PM,1,Alabama,MONTGOMERY (101),2,1,2,0
10198,4/12/2014 1:28 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10199,4/12/2014 8:40 PM,1,Alabama,CONECUH (35),1,1,1,0
10200,4/13/2014 1:10 AM,1,Alabama,BLOUNT (9),1,1,1,0
10201,4/13/2014 7:00 PM,1,Alabama,BALDWIN (3),2,1,4,0
10202,4/16/2014 9:13 PM,1,Alabama,ELMORE (51),1,1,1,0
10203,4/17/2014 8:10 PM,1,Alabama,MADISON (89),1,1,1,0
10204,4/19/2014 12:15 AM,1,Alabama,MARENGO (91),1,1,1,0
10205,4/8/2014 12:50 PM,1,Alabama,CLARKE (25),3,1,3,0
10206,4/12/2014 9:20 PM,1,Alabama,TUSCALOOSA (125),1,1,2,0
10207,4/12/2014 11:20 PM,1,Alabama,SHELBY (117),1,1,1,0
10208,4/18/2014 8:30 AM,1,Alabama,HENRY (67),1,1,1,0
10209,4/18/2014 11:25 AM,1,Alabama,WALKER (127),1,1,1,0
10210,4/19/2014 5:15 PM,1,Alabama,CLAY (27),1,1,1,0
10211,4/21/2014 8:00 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10212,2/17/2014 10:35 AM,1,Alabama,MOBILE (97),2,1,4,0
10213,4/11/2014 9:20 AM,1,Alabama,MORGAN (103),2,2,4,0
10214,4/16/2014 8:49 AM,1,Alabama,CULLMAN (43),2,1,3,0
10215,4/19/2014 11:57 AM,1,Alabama,CULLMAN (43),2,1,3,0
10216,4/22/2014 1:10 PM,1,Alabama,JEFFERSON (73),2,1,3,0
10217,4/24/2014 3:50 PM,1,Alabama,JEFFERSON (73),1,1,2,0
10218,4/26/2014 8:21 AM,1,Alabama,CONECUH (35),1,1,1,0
10219,4/14/2014 8:58 AM,1,Alabama,MOBILE (97),3,1,4,0
10220,4/16/2014 5:35 AM,1,Alabama,CHEROKEE (19),2,1,2,0
10221,4/18/2014 7:43 AM,1,Alabama,COVINGTON (39),2,1,2,0
10222,4/18/2014 10:25 PM,1,Alabama,MOBILE (97),2,1,1,0
10223,4/19/2014 11:28 PM,1,Alabama,ST. CLAIR (115),1,1,2,1
10224,4/22/2014 1:42 PM,1,Alabama,BIBB (7),2,1,2,0
10225,4/22/2014 9:50 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10226,4/26/2014 1:30 AM,1,Alabama,MORGAN (103),1,1,1,0
10227,4/26/2014 6:35 AM,1,Alabama,DEKALB (49),1,1,1,0
10228,4/25/2014 3:25 AM,1,Alabama,ELMORE (51),1,1,1,1
10229,3/3/2014 7:27 AM,1,Alabama,ETOWAH (55),2,3,4,0
10230,3/20/2014 5:00 PM,1,Alabama,LAUDERDALE (77),2,1,3,0
10231,4/15/2014 7:51 AM,1,Alabama,HOUSTON (69),3,1,3,0
10232,4/15/2014 7:37 AM,1,Alabama,MACON (87),1,1,2,0
10233,4/26/2014 10:03 AM,1,Alabama,MORGAN (103),2,1,2,0
10234,4/26/2014 10:02 PM,1,Alabama,ESCAMBIA (53),1,1,1,0
10235,4/25/2014 5:50 PM,1,Alabama,DALLAS (47),1,1,1,0
10236,4/27/2014 12:10 AM,1,Alabama,BALDWIN (3),1,1,2,0
10237,4/27/2014 12:15 PM,1,Alabama,CLARKE (25),1,1,1,0
10238,4/28/2014 11:00 AM,1,Alabama,MOBILE (97),2,1,6,0
10239,4/23/2014 1:45 PM,1,Alabama,COLBERT (33),3,1,3,0
10240,5/3/2014 12:50 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10241,5/3/2014 9:10 PM,1,Alabama,ST. CLAIR (115),1,1,1,0
10242,5/5/2014 1:30 AM,1,Alabama,ST. CLAIR (115),1,1,2,0
10243,5/6/2014 10:30 PM,1,Alabama,CULLMAN (43),1,1,1,0
10244,5/4/2014 1:16 AM,1,Alabama,HOUSTON (69),1,1,1,1
10245,5/1/2014 8:35 PM,1,Alabama,BIBB (7),2,1,3,0
10246,5/1/2014 3:05 PM,1,Alabama,WILCOX (131),1,1,1,0
10247,5/3/2014 10:15 PM,1,Alabama,JEFFERSON (73),2,1,3,0
10248,5/12/2014 1:05 PM,1,Alabama,BALDWIN (3),1,1,1,0
10249,5/9/2014 6:36 PM,1,Alabama,DALE (45),2,1,2,0
10250,5/10/2014 10:33 PM,1,Alabama,ELMORE (51),1,1,1,1
10251,5/12/2014 1:39 PM,1,Alabama,MADISON (89),2,1,6,0
10252,5/12/2014 2:49 PM,1,Alabama,SHELBY (117),2,1,3,0
10253,4/25/2014 9:27 AM,1,Alabama,JEFFERSON (73),1,1,1,1
10254,5/1/2014 6:56 AM,1,Alabama,JEFFERSON (73),1,1,1,0
10255,5/15/2014 9:48 AM,1,Alabama,JEFFERSON (73),1,1,1,0
10256,4/29/2014 2:10 AM,1,Alabama,SHELBY (117),2,1,2,0
10257,5/2/2014 3:42 AM,1,Alabama,JEFFERSON (73),1,1,1,1
10258,5/3/2014 5:32 PM,1,Alabama,MOBILE (97),1,1,4,1
10259,5/3/2014 6:23 AM,1,Alabama,CALHOUN (15),1,2,3,0
10260,5/3/2014 3:40 PM,1,Alabama,COLBERT (33),2,2,3,0
10261,5/4/2014 2:55 PM,1,Alabama,HOUSTON (69),2,2,2,0
10262,5/7/2014 7:35 AM,1,Alabama,JACKSON (71),2,1,5,0
10263,5/7/2014 5:40 PM,1,Alabama,ELMORE (51),1,1,1,0
10264,5/7/2014 1:10 PM,1,Alabama,ESCAMBIA (53),2,1,2,0
10265,5/8/2014 7:15 PM,1,Alabama,GENEVA (61),2,1,2,0
10266,5/12/2014 9:05 PM,1,Alabama,WALKER (127),1,1,1,0
10267,5/12/2014 5:55 PM,1,Alabama,CALHOUN (15),2,1,2,0
10268,5/13/2014 2:36 PM,1,Alabama,LEE (81),2,1,2,0
10269,5/13/2014 8:50 PM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10270,5/16/2014 6:30 PM,1,Alabama,RANDOLPH (111),2,1,3,0
10271,5/19/2014 9:12 AM,1,Alabama,MADISON (89),1,1,1,0
10272,5/2/2014 8:06 PM,1,Alabama,ETOWAH (55),1,1,2,1
10273,5/7/2014 3:15 PM,1,Alabama,MADISON (89),2,1,3,0
10274,5/9/2014 4:30 PM,1,Alabama,MOBILE (97),2,1,4,0
10275,5/16/2014 8:38 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10276,5/17/2014 12:52 PM,1,Alabama,MONTGOMERY (101),2,1,4,0
10277,5/18/2014 5:00 AM,1,Alabama,MACON (87),1,1,2,0
10278,5/18/2014 8:38 PM,1,Alabama,AUTAUGA (1),1,1,1,0
10279,5/19/2014 8:57 PM,1,Alabama,MARSHALL (95),1,1,4,0
10280,5/20/2014 4:00 PM,1,Alabama,CHILTON (21),2,1,2,0
10281,5/20/2014 10:09 PM,1,Alabama,ETOWAH (55),1,1,0,1
10282,5/21/2014 9:45 PM,1,Alabama,WALKER (127),1,1,1,0
10283,5/23/2014 10:50 PM,1,Alabama,WILCOX (131),1,1,1,0
10284,5/24/2014 1:35 AM,1,Alabama,JACKSON (71),1,1,2,0
10285,5/20/2014 4:14 PM,1,Alabama,TALLADEGA (121),2,2,5,0
10286,5/7/2014 12:10 AM,1,Alabama,TUSCALOOSA (125),1,1,1,1
10287,5/23/2014 1:15 AM,1,Alabama,CHILTON (21),1,1,1,0
