CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60091,Nissan/Datsun,Sentra,2002,California,1,"Yes, Too Fast for Conditions",55,Dry,None
60092,Hyundai,Elantra,2018,California,1,No,98,Dry,None
60092,Other Make,Sterling,2001,California,0,No,55,Dry,None
60093,Toyota,Tacoma,2000,California,1,No,55,Wet,None
60094,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2002,California,0,"Yes, Too Fast for Conditions",25,Dry,None
60095,BMW,750cc and over,2017,Nebraska,1,"Yes, Too Fast for Conditions",40,Dry,None
60097,Mercedes-Benz,E Class (97 on),2011,California,1,No,55,Dry,None
60098,Subaru,Impreza,2005,California,1,No,55,Dry,None
60099,Freightliner,Medium/Heavy - CBE,2014,California,0,No,55,Dry,None
60099,Ford,Medium/Heavy ï¿½ CBE,2003,California,1,No,55,Dry,None
60100,Ford,F-Series pickup,2011,California,0,"Yes, Too Fast for Conditions",65,Dry,None
60100,Honda,"Civic/CRX, del Sol",2006,California,0,No,65,Dry,None
60100,Mercedes-Benz,GLK Class,2012,Illinois,0,No,65,Dry,None
60100,Toyota,Camry,2007,California,1,No,65,Dry,None
60101,Mercedes-Benz,CLA Class,2018,California,1,No,55,Dry,None
60101,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2015,California,1,No,55,Dry,None
60102,Cadillac,CTS/CTC,2011,California,0,No,45,Dry,None
60103,Dodge,"Journey (For 2009-2018 only.  For model years 2019 on, see 07-404.)",2009,California,0,No,45,Dry,None
60104,Lexus,IS-250/300/350/500/200t,2002,California,0,No,55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60104,Suzuki,450-749cc,2001,California,1,No,55,Dry,None
60104,Nissan/Datsun,Altima,2008,California,0,No,55,Dry,None
60105,Chevrolet,S-10/T-10 Pickup,1984,California,1,No,65,Dry,None
60106,Honda,Odyssey,2010,Michigan,0,No,25,Wet,None
60107,Jaguar,"XJ-S, XK8 Coupe",2001,California,0,No,55,Dry,None
60107,Toyota,Prius *,2008,California,0,No,55,Dry,None
60107,Mazda,Mazda6,2012,Tennessee,0,No,55,Dry,None
60108,Toyota,Sienna,2014,California,0,No,25,Wet,None
60109,Harley-Davidson,750cc or greater,2017,California,1,"Yes, Too Fast for Conditions",35,Dry,None
60110,Chevrolet,"TrailBlazer (2003 on; for 2002 model, see 401)",2006,California,1,No,55,Wet,None
