CaseNumber,State,County,City,Lat,Long,Year,Month,MonthName,Day,WeekDay,Hour,Function,Route,Fatalities,People,Pedestrian,Vehicle_total,Vehicle_ord,DrunkDriver,CollisionType,LightConditions,Deadly
61607,California,TULARE,NOT APPLICABLE,36.26876111,-119.2044472,2019,8,August,10,Saturday,23,Local,Unknown,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61608,California,VENTURA,NOT APPLICABLE,34.29348889,-119.3382889,2019,7,July,17,Wednesday,20,Principal Arterial - Other Freeways and Expressways,U.S. Highway,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61609,California,SAN BERNARDINO,NOT APPLICABLE,34.14945556,-117.2524333,2019,7,July,26,Friday,20,Minor Collector,Local Street - Municipality,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61610,California,SAN BERNARDINO,NOT APPLICABLE,34.37067778,-117.544025,2019,7,July,28,Sunday,10,Minor Arterial,State Highway,1,2,0,2,Double,0,Angle ,Daylight,0.5
61611,California,ALPINE,NOT APPLICABLE,38.58525833,-119.7895806,2019,9,September,28,Saturday,15,Principal Arterial - Other Freeways and Expressways,State Highway,1,2,0,2,Double,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,0.5
61612,California,NAPA,NOT APPLICABLE,38.46708056,-122.4290528,2019,8,August,5,Monday,20,Minor Arterial,State Highway,1,3,1,2,Double,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.333333333
61613,California,KINGS,NOT APPLICABLE,36.24005833,-119.7729806,2019,6,June,10,Monday,1,Local,Unknown,1,2,1,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.5
61614,California,KERN,NOT APPLICABLE,34.86384444,-118.2128167,2019,7,July,17,Wednesday,20,Principal Arterial - Other,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dusk,1
61615,California,RIVERSIDE,NOT APPLICABLE,33.83375278,-117.3583222,2019,3,March,16,Saturday,5,Minor Arterial,Unknown,4,4,0,2,Double,1,Front-to-Front,Dark - Not Lighted,1
61616,California,RIVERSIDE,CORONA,33.88634722,-117.5179972,2019,5,May,6,Monday,2,Principal Arterial - Other Freeways and Expressways,State Highway,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61617,California,RIVERSIDE,NOT APPLICABLE,33.84001389,-117.0656417,2019,8,August,10,Saturday,4,Minor Arterial,Unknown,1,2,0,2,Double,1,Front-to-Front,Dark - Not Lighted,0.5
61618,California,SAN BERNARDINO,NOT APPLICABLE,34.18096389,-117.1653861,2019,1,January,17,Thursday,18,Minor Arterial,State Highway,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61619,California,SAN BERNARDINO,FONTANA,34.09941667,-117.4263139,2019,6,June,25,Tuesday,0,Minor Arterial,Unknown,1,2,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,0.5
61620,California,SAN BERNARDINO,ONTARIO,34.03370833,-117.6671528,2019,4,April,7,Sunday,0,Minor Arterial,Unknown,1,1,0,3,Multiple,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61621,California,LOS ANGELES,LONG BEACH,33.80440556,-118.2165667,2019,9,September,15,Sunday,21,Principal Arterial - Other,Local Street - Municipality,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61622,California,RIVERSIDE,GARNET,33.82490278,-116.5437833,2019,7,July,27,Saturday,19,Local,Unknown,1,1,2,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61623,California,ORANGE,STANTON,33.80495833,-118.0019389,2019,4,April,8,Monday,23,Minor Arterial,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61624,California,SAN BERNARDINO,TWENTYNINE PALMS,34.14981111,-116.0772306,2019,7,July,9,Tuesday,13,Minor Arterial,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61625,California,LOS ANGELES,LOS ANGELES,34.19393333,-118.3972917,2019,4,April,24,Wednesday,10,Minor Arterial,Unknown,1,7,0,3,Multiple,0,Front-to-Front,Daylight,0.142857143
61626,California,VENTURA,VENTURA,34.27828333,-119.2872611,2019,5,May,16,Thursday,22,Minor Arterial,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61627,California,RIVERSIDE,CATHEDRAL CITY,33.8449,-116.4765806,2019,5,May,31,Friday,2,Minor Arterial,Unknown,1,2,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,0.5
61628,California,SAN JOAQUIN,STOCKTON,37.95228889,-121.2719861,2019,5,May,2,Thursday,19,Local,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61629,California,ORANGE,HUNTINGTON BEACH,33.71587778,-117.9889833,2019,3,March,10,Sunday,3,Principal Arterial - Other,State Highway,1,1,1,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61630,California,SACRAMENTO,NOT APPLICABLE,38.69078333,-121.3637167,2019,9,September,6,Friday,5,Minor Arterial,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61632,California,SAN JOAQUIN,STOCKTON,37.95503611,-121.3126667,2019,2,February,12,Tuesday,23,Interstate,Interstate,1,3,0,2,Double,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.333333333
